Address	                                        Delegation    	Slash amount	Compensation
cosmos1sufkm72dw7ua9crpfhhp0dqpyuggtlhdse98e7	177992.1995	17.79921995	26.69882993
cosmos1g5435cjhlm4s2nlmwln6ess9x4lc4qgdfep2l6	40011.28942	4.001128942	6.001693413
cosmos1h25lek0k773vsl9vmj3sf0hp30sa8qvzljk9w2	4360	0.436	0.654
cosmos1dsq074k5h7672fa2pqrjek06u8vw9az3zx0klk	3187.957979	0.318795798	0.478193697
cosmos1h2cs4py349m2j3ra2k85wkcffpfztqw80p2llu	2640.256031	0.264025603	0.396038405
cosmos1p454fm4rerxddn0uppen8hvckceylf7p7a2jpf	2500.009806	0.250000981	0.375001471
cosmos1d6qrn9ee6l0qzuz98lkjx2murpdhk5w2tjwtwh	2418.628255	0.241862826	0.362794238
cosmos17fxx59pne4uxqstul9vcx76xhwemwfuguwdx0t	2053	0.2053	0.30795
cosmos1uwf0546taad3kratmv40axffg6qt7w0zyumq9t	2000	0.2	0.3
cosmos15mpsevfcj39727a4h5yxfw6f9fcr7a08jw7hd4	1790	0.179	0.2685
cosmos14cpr8hrdzevn2lkyvvuj5y3elyw87sgvcyc5wa	1750.5	0.17505	0.262575
cosmos1crxjg3hkl99tmzxpx0np3q330jxpgs2s837zq5	1584	0.1584	0.2376
cosmos18egzdcgmvzfstuucaexvd9822tnpu7hyzxaf5f	1565.390151	0.156539015	0.234808523
cosmos1zyvmr807h0ph5uq04gdflg5jsvphfdsn7tfltw	1530.210913	0.153021091	0.229531637
cosmos10merz20875k5365vfrj52h6hzf6wa7gmah9lks	1470	0.147	0.2205
cosmos15pnz53ue9uq0suz7ddf4t5khswr0zz44jn5lyp	1208.000001	0.1208	0.1812
cosmos16c8ejyc3fth69hu4rge0nqxn2k7c49ae0n6fuk	1189.610266	0.118961027	0.17844154
cosmos1y48yewyspx9qn0zzmtstt97xlke8flmq9ry39l	1135.83476	0.113583476	0.170375214
cosmos1j30uyz6u9vlsak72f2rhnq0zxm5z04xz4sxf0j	1088.977681	0.108897768	0.163346652
cosmos1f38ck3pcn9rz6z8t64p5aw2xsnz2ntax3g5224	1082.328295	0.10823283	0.162349244
cosmos1u7l22smasdh2m4du0jrmvj3gsvmgtnjxh83w02	1074.944799	0.10749448	0.16124172
cosmos1m0us2zhx62pceuccnpvasmue3fvwzavuuvj9de	1049.975002	0.1049975	0.15749625
cosmos1xuwl7x8htyl26t7pe3l0x6auj3j9jwd2zkdad9	1042.000002	0.1042	0.1563
cosmos12pc9pnf8xqgedn2qm57zrs8phur5zftj6fr6ky	1000.000002	0.1	0.15
cosmos1a5uadmav4apeawt2672367rhjk2lw5xrty0szs	1000.000002	0.1	0.15
cosmos1wd8q7x7wwaqk626pev0tp8yrm6pql4cxcedd9a	1000.000001	0.1	0.15
cosmos10mkczsrf8snhdhazkf7lav2hjdctyupvnua8jz	1000.000001	0.1	0.15
cosmos1fsczk3dj3eqp62qeeg4jcwvg939zwa67vkk64w	849.952001	0.0849952	0.1274928
cosmos1kfc5gyquzwug4hg9ykeavauwpc2j5q0c3fj9t0	849.943001	0.0849943	0.12749145
cosmos1sz8xpdr2jj4q42dk8jk48yksg78aa4vyjl9k7u	848.875093	0.084887509	0.127331264
cosmos1jy3ygr6kldcyqcr2yk9z5hen5lgj5827ypqk8q	829.952001	0.0829952	0.1244928
cosmos19uraxqsucmfvzvdhjhu2ycypqfh2z8k029epl8	824.953501	0.08249535	0.123743025
cosmos149xu30eqnu5kfl207razavtgtgl6dgxdtjsf49	819.952001	0.0819952	0.1229928
cosmos1hylnfwdvde3fzwa87zsmcg8lx5gwl3vt4adr33	819.782959	0.081978296	0.122967444
cosmos1z9tc2ln0cak4p4v3xld567gd4rrpxmdrjtcvlg	815.000027	0.081500003	0.122250004
cosmos1zgaj2w950llsludydz5xmcp609uk02ys32a9ux	809.952001	0.0809952	0.1214928
cosmos17c6crwrz09tlk65pf02h4ryk2q9s9d870a505c	797.023742	0.079702374	0.119553561
cosmos1l0uyf6ljnmdaw4ngqnpfgtrg4t9ym0g4yhwpae	769.954001	0.0769954	0.1154931
cosmos1jv5pwm8pak99x7rde9f8ujj20vfpfqcm2zeegf	760.368199	0.07603682	0.11405523
cosmos14rt5w9u8xn8ty8axa4k5m9g64x8qsedr06hm9n	749.954001	0.0749954	0.1124931
cosmos1m0jcuhpnsrj99p5vdz94l35dc0rce3fuwx8pvs	747.917298	0.07479173	0.112187595
cosmos1ufvcwvzcfzm3ft4u54kweuy8y9zz3llrup2vj0	739.955001	0.0739955	0.11099325
cosmos13vwzpmmada8aangxtjyfschf04fh7mfjz5kt3a	729.957001	0.0729957	0.10949355
cosmos1tshwngxafaaetznslcppa8exqc0zhfr4yag57w	729.952001	0.0729952	0.1094928
cosmos150r65rcclery92u7dcut5zt3r229tvl6f7862c	727	0.0727	0.10905
cosmos1370fn26kj4r7780clfsuqxg5xrw2jf6632mat8	707.960201	0.07079602	0.10619403
cosmos1yd34lwxt4k3vsf0jeeea594lruwgcfx7rdtmqc	700	0.07	0.105
cosmos1tc2hll3wfhu247scwnvu6ppgrwgc6sjz8e5hwn	679.965001	0.0679965	0.10199475
cosmos17sw7xrrl8f6ucfa70xfkpfqrlhjahjsprs9q0k	678	0.0678	0.1017
cosmos1ywy2p3s6gcq8n9n25h6utyrpyeegn3ywm3rs8d	655.775132	0.065577513	0.09836627
cosmos1st9y369mkl6ymwftzyms60s9j8l92434e2m99t	650.965001	0.0650965	0.09764475
cosmos1azalsnxu9z264g2cctswvwqy5tvnhf4kyqu3p7	650.100001	0.06501	0.097515
cosmos1gzr8qv7dp3dzx0a6mya78z5jr3qfeyt99xhzm2	649.965001	0.0649965	0.09749475
cosmos14hhlqj3fmnk0zsxjjdevzfz0hm3ymy29gmcqk8	627.193987	0.062719399	0.094079098
cosmos1q6z6exv3zde7rdsftu2senvpedly7f3suhsp8z	624.548063	0.062454806	0.093682209
cosmos14k8f2cd27z8laj9v0f7zmqgptu68afu7yql9cd	623.362726	0.062336273	0.093504409
cosmos1gwqkt8rka8kg67x4f0jnsvw4hgv6rejgk4n3ve	619.965001	0.0619965	0.09299475
cosmos1zhjnfuhnwkz9ckrxmzxgutylxsjd4gpetp77pt	618.3	0.06183	0.092745
cosmos1gcj6dduz4nde39xc28v3ftrwujxje3na57hapn	609.965001	0.0609965	0.09149475
cosmos1qh0f8s6r5kckvrne6xr5qyn23vu3zxfqsxh7f4	599.215039	0.059921504	0.089882256
cosmos1aa6stv9wf0gs52xx8lgpx75044alg5zxax9znk	595.513651	0.059551365	0.089327048
cosmos19s7nrzxwlwwt4pdk4dnk9wltnr67w6sdewayt6	579.965001	0.0579965	0.08699475
cosmos1s8vzae8s9lw6uk8l45e6ses3fnzul45yzd02g9	562.5	0.05625	0.084375
cosmos1jchyarw7d63eas8gvtxkzlsrsw7ed6u77xjd7v	561.690697	0.05616907	0.084253605
cosmos16e3v0p7yrwsfq29z6a2pepndfv98zhqr6qfy8h	561.15139	0.056115139	0.084172709
cosmos1cnk4mg9d03002m5mrc8k93zldflne92792lfsk	550	0.055	0.0825
cosmos1w4k0qfmddm88rxkr7a6wxvtgkmtfata95zss8t	545.439371	0.054543937	0.081815906
cosmos1k6z7calf48w39523y5yqd30dwvs7xe4g79xw7x	527.072341	0.052707234	0.079060851
cosmos1lcfgsnhlgxtq8dklaljz87d4yak666k5ueqzdu	525.256455	0.052525646	0.078788468
cosmos1r54xcpm6ujh3tkr3m0x90fppc3fqrtgarqrvrx	508.425459	0.050842546	0.076263819
cosmos1y2vzm7xw2z26nsezf6mvaud5ugq253a32gp3rj	500.000001	0.05	0.075
cosmos1ee7lwnlv5uf7uw0sz5djlqrtny40s5nyps3a7q	500.000001	0.05	0.075
cosmos1y23h2knte3mq9qa549exeqgga8xfkuekp724fx	500	0.05	0.075
cosmos1x69jls25lldyytfhzaaved078v72rc3jnysk6f	500	0.05	0.075
cosmos1v2u67hz659zrj4advt4zs2gvrcs5glfr7yvqqx	459.438371	0.045943837	0.068915756
cosmos1meu0pzx5ul4rxv6cc3g5ne0cettuqnl0gdqd63	446.704889	0.044670489	0.067005733
cosmos1fac2uc5eeptn486nnu72ue2seaygmk9jd96x4y	441.187479	0.044118748	0.066178122
cosmos1vc9mt7pavhnfsumla7j08vqafk8j27mczdnl93	438.415918	0.043841592	0.065762388
cosmos1wn4r5l7dy42ttuq6pr4pstc9032wx68x5anr93	437.756221	0.043775622	0.065663433
cosmos1f0f4cx983gr57xtchf9nykd37lf8rpgg4efu3p	416.499226	0.041649923	0.062474884
cosmos1av546z9wmfwmm9dl9nk0qt3nyxszllryazj724	374.769221	0.037476922	0.056215383
cosmos1jvm8gy4lgzcrsagxpyhvvxymz982y3j5n6l8mj	374.381057	0.037438106	0.056157159
cosmos1gcfrzhxzqkr9swk3ust5nfwm3ckvf0s5yu9zh2	358.697629	0.035869763	0.053804644
cosmos1pd6v70ta0smp448c07ctfpa5f2jpu5ty3ljv09	358.085	0.0358085	0.05371275
cosmos1ejhgqttsncrjk28hxmeaa66cxwcgmj0pcj8ztc	350.007998	0.0350008	0.0525012
cosmos19trk7z0uxspg7axa5n6rukfdkrkdpa3p4xym69	350	0.035	0.0525
cosmos1h2208hxe9vsaqkuuwmkjhcrdgj2mp7uv6yaem2	345.833934	0.034583393	0.05187509
cosmos1nuktp0t9ly7cmw770g75gajehw85cy5yprrxgf	334.3	0.03343	0.050145
cosmos1up7p4uhgzfzrk6fnqjes0wty9rv7q0yx5wdw98	332.130402	0.03321304	0.04981956
cosmos13nusj7qx42gper65f2rwavdxvnkhhmvt9hp760	327	0.0327	0.04905
cosmos1lfzxghfc0shtu9zs5mkcd2r4upnkgnm4k43k9p	326.69397	0.032669397	0.049004096
cosmos1m7fp3yd2r5h2u4uu02m6nstceranss8v6vffq5	323.34079	0.032334079	0.048501119
cosmos16xn9mgny86x7e0j68q9n3hv5mpphdfetlt47qn	322.460461	0.032246046	0.048369069
cosmos1wwrn0tgrafa6lv59d25sx2f7gyf3m2n96q7rwc	305.4	0.03054	0.04581
cosmos13v95y9cpysxvlrjxc2crj543gjrp89ad9y4yh4	303	0.0303	0.04545
cosmos17vxaggqe94dnamu0j449we6kkly20neptc9yhj	302.5	0.03025	0.045375
cosmos1q2yjru58ap4l67g3w6ngtyspkk5edrz9yxwvk2	301.00011	0.030100011	0.045150017
cosmos12sakst7l24er29068mpngzkdq70qfc0uk5957z	300.01	0.030001	0.0450015
cosmos1p9xp6nzfrdzfma032afzpfwm9w0c4qy9wxfs58pf27eyzjluf7jsznxdpx	300	0.03	0.045
cosmos1a3eu040503s3jqcr8u8r2yyw4ge9p4wn0gzysg	299.999999	0.03	0.045
cosmos1fmkh8gpamlgck7jz255jnekn4fyseq5cn0hgyx	290.891179	0.029089118	0.043633677
cosmos1zky98vu5kqvmuc2cv5aeejs6f9my96pg54dtyf	290.031316	0.029003132	0.043504697
